Name,Description
Braunschweiger,"Braunschweiger is a German dish using liverwurst sausage as the main ingredient. The sausage is first sliced into smaller pieces, then combined with smoked meat (such as bacon) in a pan. The two are fried together until they develop a nice, browned color. Braunschweiger is typically served as a main meal, and it is often accompanied by mashed potatoes, vegetables, or pasta."
Pellkartoffeln,"Pellkartoffeln refers to boiled or steamed potatoes with their skins intact. This traditional German dish can be enjoyed on its own or served as an accompaniment to a variety of different dishes. The potatoes are usually scrubbed to remove any impurities and then cooked whole in water seasoned with salt and (sometimes) caraway seeds or bay leaves. Leaving the skin intact allows the potatoes to cook better and retain more of their natural flavor and nutrients. Once done, the potatoes can either be peeled or eaten with their skins intact. The simplest way to enjoy pellkartoffeln is with salt and butter, although another popular way is to accompany them with kräuterquark (quark mixed with fresh herbs). Other typical combinations include pellkartofflen with salmon remoulade (Lachsremoulade), quark and flaxseed oil, leberwurst, heringsalat, or curry sauce. Pellkartoffeln are also used to prepare other potato-based specialties such as the ubiquitous German potato salad (Kartoffelsalat), roasted potatoes, pan-fried potatoes (Bratkartoffeln), various potato dumplings (Kartoffelklöße), a type of potato-based pasta (Schupfnudeln), potato pancakes (Kartoffelpuffer), mashed potatoes (Kartoffelpüree), and potato soups."
Apfelmus,"Different versions of apple sauces have been prepared since ancient times—a combination of pork and apples is even mentioned in Apicius, a collection of Roman cookery recipes, while different medieval varieties appear in English as well as various Central and Northern European cookbooks. Apple sauce is made with cored apples that are cooked until they are soft enough to be mashed in a purée. Other ingredients typically include sugar and spices such as cinnamon or cloves. Unlike apple butter, the sauce is lighter in color and has a more liquid consistency. Although it is subtly sweet and it is often used as a topping on desserts, apple sauce is also a great accompaniment to roasted meat dishes, especially pork, duck, or goose. It is difficult to say when and where applesauce originated, but it is believed that it appeared out of necessity to preserve fruit during winter. The origin of applesauce is often associated with Central Europe, but the first written mention is found in an English cookbook Compleat Housewife, written by Eliza Smith in 1739. The sauce is also commonly prepared in the United States. "
Pfeffernuss,"Pfeffernuss is a spiced German Christmas cookie. Although there is no set recipe and the variations appear throughout the country, the dough is usually heavily spiced with several spices. The list typically includes white pepper, which gives the cookie its name, cinnamon, cardamom, anise, cloves, allspice, ground ginger, and nutmeg. Sometimes, they are made with a gingerbread spice blend known as lebkuchengewürz, while some variations also use orange or lemon zest. These cookies are a Christmas staple, mostly prepared and enjoyed throughout the Christmas period. They are typically round and often dusted in sugar or covered in icing glaze. They share many similarities with Danish (pebernødder) and Dutch (pepernoten) pepper cookies."
Rollmops,"Rollmops is a German dish consisting of pickled herring fillets that are wrapped around ingredients such as gherkins, onion rings, or green olives. The combination is then usually skewered with a cocktail skewer. The dish is traditionally eaten cold, on its own or with bread. It grew in popularity in 19th-century Berlin, and it was a common pub food in the city. Aside from Germany, rollmops are also popular in England and Poland, especially during the Christmas season."
Griessbrei,"Grießbrei is a traditional Central European pudding based on semolina. The dish is made with milk, semolina, and sugar. It's often flavored with vanilla and cinnamon. The milk is heated, the semolina stirred in, and the mixture is then stirred until it becomes creamy and thick. Most people like to eat semolina pudding for breakfast, and the dish is sometimes enhanced with the addition of fruit such as cherries, strawberries, peaches, pears, or apples. It's recommended to serve it in a shallow bowl since there's more surface area to cover with the desired toppings. The dish is prepared in Germany, Austria, Hungary, Croatia, Slovakia, and the Czech Republic."
Engelsaugen,"These delicious thumbprint cookies are an absolute must for Christmas in Germany. They are traditionally made with a simple shortcrust base that is filled with red currant jam. Interestingly, in some parts of Germany, engelsaugen (angel eyes) are called husarenkrapfen, which translates as Hussars' donuts."
Rahmschnitzel,"Rahmschnitzel is a German meat dish. It's usually prepared with a veal cutlet, but pork or chicken can be used instead, if preferred. Other ingredients include flour, butter, white wine, heavy cream, and herbs such as parsley and chives. The meat is tenderized and seasoned, then rolled in flour and fried in butter until golden brown. White wine is added to the pan in order to form a sauce with heavy cream and a bit of sugar. When done, each cutlet is topped with the gravy and garnished with chopped chives or parsley. Traditionally, this dish is served with spaetzle, but pasta or potatoes are also welcome additions regarding side dishes."
Gruenkohl,"Grünkohl, meaning kale, refers to a variety of German dishes that have kale as their main ingredient. This leafy vegetable is widely used in traditional fall and winter specialties in the country, and it is usually blanched in hot water before it's cooked with other ingredients. Both fresh and frozen kale leaves can be used, although it is believed that frozen kale has a somewhat sweeter flavor than the fresh one. Grünkohl dishes typically feature some type of meat, and they are often enjoyed with potatoes, dumplings, and beer or other alcoholic beverages on the side. Kale is a highly versatile vegetable and there are endless ways to cook it, including grünkohl mit pinkel (kale with pinkel sausages) and grünkohl mit mettwurst (kale with raw minced pork sausages), which are two popular German kale specialties. In Germany, kale is commonly prepared on festive occasions such as Adventszeit (Advent Season) and Weihnachten (Christmas). Numerous dishes featuring this vegetable are often served at Christmas markets throughout Germany."
Himmel und Erde,"Himmel und Erde is a traditional dish originating as far back as the 18th century. Literally translated, the name of the dish means Heaven and Earth, derived from the old word for potatoes – Erdapfel. The dish consists of mashed potatoes that are paired with apple sauce. It is most commonly served with meat dishes, while purists insist on having a blood sausage on the side. In that case, the dish is sometimes referred to as Himmel, Erde, und Höllen (Heaven, Earth, and Hell). Today, there are numerous variations on the original recipe depending on the region, but the classic version is still the most popular in Rhineland, its place of origin."
Mettbroetchen,"Mettbrötchen is a type of sandwich consisting of a fresh brötchen (a German bread roll) and mett (raw pork mince). The bread roll is sliced, then topped with a layer of mett, which is usually seasoned with salt and pepper and garnished with slices of raw onions on top. This sandwich is a typical breakfast item in Germany, and it is typically enjoyed in northern parts of the country. Interestingly, Mettwoch is a German custom of savoring mettbrötchen on Mittwoch (Wednesday)."
Koenigsberger Klopse,"Königsberger Klopse is a savory meal consisting of meatballs in a white sauce served with a side of boiled potatoes and sliced pickled beets. Similar dishes have existed since the Middle Ages, but klopse (lit. meatballs) were invented in Königsberg (now known as Kaliningrad) back in the 18th century. These meatballs are mostly made with minced veal and a small amount of either anchovies, sardines, or herrings, which are nicely contrasted by capers in the white sauce."
Kohlroulade,"Kohlroulade is a German version of stuffed cabbage rolls, consisting of blanched cabbage leaves that are tightly rolled around a filling of ground meat, breadcrumbs, eggs, onions, and a variety of spices. After assembling the cabbage rolls, they are first lightly browned before being simmered in meat broth until fully cooked and tender. Caraway, mustard, or tomato sauce can optionally be added to the sauce or the meat mixture for extra flavor. These stuffed cabbage rolls are typically enjoyed with a side of potatoes, cucumber salad, and a glass of beer. In Germany, kohlroulade is commonly prepared during winter, and it can be made with different types of meat including beef, pork, turkey, or chicken."
Bayerische Breze,"This traditional Bavarian pretzel is shaped to symbolize two arms folded for prayer, and they are available in different versions and sizes, usually topped with a sprinkling with coarse salt. Their crust is thin, dark brown, shiny, and has a cracked surface after baking. The dough, however, is juicy, tender, and light in color. As opposed to Swabian pretzels, Bavarian pretzels are thicker and not sliced lengthwise in the middle. Local differences can be recognized by their various forms. The Bavarian pretzel is a vital part of Bavarian snack culture, and it is especially delicious when buttered or paired with cheese. It is an indispensable accompaniment to Munich white sausage and Bavarian meatloaf."
Gefilte Fish,"Gefilte fish, or stuffed fish (from gefilte, which means filled or stuffed in Yiddish), is a ubiquitous Jewish appetizer that is based on chopped or ground fish. This dish is typically prepared with ground carp, pike, or whitefish that is combined with a variety of other ingredients before it is shaped into balls or oval patties, which are then usually simmered in fish stock. Typical ingredients that go into gefilte fish include matzo meal, eggs, onions, carrots, leeks, parsley, goose fat or oil, and various seasonings and spices such as salt, pepper, allspice, sugar, cinnamon, or bay leaves. Gefilte fish may be more on the savory side, with a distinctive peppery flavor, as it is usually prepared in countries such as Lithuania and Russia, or sweet, a version that is typical of Polish cuisine. Believed to date back to medieval Germany, this specialty has been attributed to the Ashkenazi Jews, and despite the many different theories regarding its creation, the dish has most likely been invented out of poverty and the need to feed many people with as little expense as possible. Today, gefilte fish balls or patties are available in jarred or frozen versions, though many people prefer the homemade versions over the store-bought ones as these are almost always rather bland-tasting and unappetizing. The dish is usually enjoyed chilled or at room temperature, topped with boiled carrots and onions, and accompanied by a side of chrain (ground horseradish, often mixed with beets). Gefilte fish has been traditionally consumed for Shabbat, although it is also eaten for a number of Jewish holidays such as Passover Seder and Rosh Hashanah, the Jewish New Year."
Schwenkbraten,"A barbecue specialty hailing from Saarland, schwenkbraten consists of marinated pork steaks that are grilled on a schwenker, a unique grill which is suspended from a tripod and swung over an open wood fire by a schwenkmeister (the person doing the grilling). The pork steaks used in the dish are typically neck cuts, but other pork cuts will also do. They are usually left to soak in the marinating mixture overnight or up to 3 days. Typical ingredients used in the marinade include dried thyme, dried oregano, onions, salt, black pepper, garlic, juniper berries, oil, and (optionally) German Riesling wine. With a crispy crust on the outside and succulent and tender meat on the inside, these grilled pork steaks are typically paired with a glass of fine German Riesling or beer, along with various side dishes such as potato salads, fresh salads, roasted vegetables, and bread rolls."
Toast Hawaii,"Although its ingredients aren't exactly traditionally German, toast Hawaii is a modern German classic - it was popularized by a TV cook Clemens Wilmenrod in the 1950s. In a similar way that the Americans have ruined pizza for some (mostly Italians) by adding pineapple to it, the Germans have also done the same thing to a sandwich. Toast Hawaii is an open-faced sandwich consisting of a buttered slice of toasted white bread that's topped with a slice of ham, a slice of pineapple, and a slice of Gouda or Swiss cheese. The sandwich is placed under the broiler until the cheese melts, and the hole in the middle is then garnished with a cocktail cherry. The ingredients used in this sandwich are a result of the time when it was invented – due to the fact that almost every household had canned pineapple and cheese slices at the time, it made this easily prepared sandwich seem exotic or even upscale. Shortly after its invention, toast Hawaii started to appear on West German restaurant menus, usually accompanied by a bottle of Worcestershire sauce on the side."
Strammer Max,"Strammer Max is a German open-faced sandwich that's served warm and has numerous variations. It's usually made with a slice of rye or wheat flour bread that can be toasted and buttered or fried in oil or butter. The bread is seasoned with salt, pepper, and (sometimes) mustard. It is then topped with slices of cured ham and a fried egg to finish it off. Due to the fact that it's quick and easy to prepare the sandwich, it spread throughout the country, but it's especially popular in Berlin, where it's an integral part of the city's food culture. Nowadays it can be found anywhere from street food stands and pubs to upscale restaurants. The most popular variations include Stramme Lotte, made with cooked ham, and Strammer Otto, with slices of salami or beef. In Bavaria, the sandwich is made with a slice of leberkäse, while a ladle of goulash as the topping is a specialty of Cologne."
Schneckenkuchen,"The name of this sweet German bread that translates as snail cake was inspired by its shape since it consists of numerous rolls neatly placed in a pan, whose final shape is reminiscent of snail shells. The base of the bread is prepared with a brioche-like dough that is shaped into rolls. Each roll usually consists of various fillings such as vanilla-flavored custard, cinnamon butter, fruit, raisins, poppy seeds, or marzipan. When baked, the bread is glazed or dusted with powdered sugar. In Alsace, the dish is better known as chinois."
Thueringer Rostbratwurst,"Thüringer Rostbratwurst is a product with centuries of tradition. The oldest known recipe, held at the Weimar State Archives, dates back to 1613. Martin Luther and Goethe both appreciated it, and it was often praised in literature. Only finely minced pork (sometimes mixed with beef or veal) is used to make this sausage, and the spice mixtures that are added vary depending on the recipes and regional characteristics. These sausages are easily distinguished from other German sausages by their low fat content and a distinctive combination of spices and seasonings – salt, pepper, caraway, marjoram, and garlic. Due to its unique and delicious flavor, Thüringer Rostbratwurst is still very popular in Germany and beyond, and it can be found at most sausage stands in Thuringia."
Muenchner Schnitzel,"Münchner schnitzel is an interesting variety on the world-famous Wiener schnitzel. This is a Munich-style variety, hence the name of the dish. The veal cutlets are brushed with a combination of sweet mustard and horseradish before they're coated in flour, eggs, and breadcrumbs, then fried in butter. The dish is ready to be eaten when the meat becomes golden brown. It's traditionally served hot with lemon wedges on the side."
Labskaus,"Labskaus is a dish from northern Germany consisting of corned beef, mashed potatoes, and beets, with additional ingredients such as fried eggs, pickles, and rollmops—a pickled, rolled herring. Although its origins are somewhat murky, the dish was most probably invented in the 16th century, when it was typically eaten by poor people, sailors, and seamen, due to the fact that pickled and canned foods were inexpensive and could last during long travels. Although the dish is particularly popular in the cities of Hamburg, Bremen, and Lübeck, variations of labskaus are prepared and consumed throughout northern Europe."
Saumagen,"Saumagen is a German dish from the region of Palatinate, where it was created in the 18th century by local farmers as a way to use up leftover food. Translated as sow’s stomach, saumagen consists of potatoes, carrots, onions, and pork that have been seasoned and stuffed in a thick casing (pig's stomach) which is also intended to be a part of the meal. Typical spices include marjoram, nutmeg, and white pepper. Once cooked, saumagen can be served as it is with mashed potatoes and sauerkraut on the side, but it can also be sliced and additionally fried. What makes the dish even better is a glass of dry white wine or a cold beer on the side."
Aachener Printen,"This is a special variety of brown, firm gingerbread that has been baked in Aachen since the 1820s. The term printe refers to the use of carved wooden molds into which the dough is pressed during production. Having been regionally protected, the Aachener Printen may only be produced in Aachen and a few neighboring villages. The dough is made from flour, sugar, and exotic spices such as cinnamon, aniseed, or ginger, which impart a unique flavor to the gingerbread. Freshly baked Printen are always firm, but because many people prefer their pastries tender, they are also offered in a soft version. Experts swear that Printen taste the best if they are left for a few days to develop their full flavor."
Topfenstrudel,"Austrian cuisine prides in their old traditional pastry desserts, and the delicate strudels are surely the most popular variety. Even though it is not as famous as the apple filled version, topfenstrudel is regarded as one of Austria’s favorites. Made with soft, mildly sweetened quark cheese which is folded with the elastic and almost see-through dough or puff pastry, the strudel is baked until a crispy golden crust is formed on top. Raisins, apricots, and peaches are occasionally added to the quark cheese mixture, which is gently spiced with vanilla or lemon. Even though they are most commonly associated with Austria, topfenstrudel, and all other strudel varieties, are eaten throughout the former Austro-Hungarian Empire. Their origins are believed to be in the Ottoman Empire, whose culinary influence spread across the Balkans, and Hungary, before finally reaching Vienna. The topfenstrudel can be found everywhere in Austria, served in both traditional and modern restaurants, as well as in classic Austrian patisseries. Commonly, a slice of warm topfenstrudel is paired with a sweet vanilla sauce or fresh fruit on the side."
Thueringer Kloesse,"A quintessential specialty hailing from Thuringia, Thüringer klöße is a simple potato dumpling that consists of a mixture of grated raw potatoes and mashed cooked potatoes filled with crunchy cubes of bread. The dumplings are typically cooked in simmering water, but they can also be lightly browned in butter for extra flavor. These traditional Thuringian potato dumplings are a great accompaniment to a variety of German meat delicacies, and they are often served with dishes such as meat roulades, roasted meat, stuffed cabbage rolls, red cabbage, or sauerkraut. Large and perfectly rounded, these German potato dumplings used to be prepared on Sundays and were once considered to be food for the poor. In Heichelheim, there is a Thuringian Dumpling Museum (Thüringer Kloßmuseum) that honors these dumplings. Nowadays, Thüringer klöße are a staple of numerous traditional restaurants in the region."
Knipp,"Knipp is a German sausage that is believed to have originated in Bremen. It is made with pork or beef, oats, onions, allspice, salt, pepper, and various herbs. Although knipp is visually unappealing, when fried in butter and served on a slice of toasted white bread or wholemeal bread, it makes for a great breakfast treat. Originally, it was consumed by peat diggers who used to mix ground offal and bacon rind with oatmeal. It is recommended to serve knipp with pickles, applesauce, or fried potatoes on the side."
Schneeballen,"This German specialty consists of thin strips of shortcrust pastry that are loosely intertwined and wrapped into balls which are deep-fried until golden and crispy. Traditional versions are dusted with sugar, but there are also variations may be covered in chocolate glaze or different combinations of nuts, coconut, cinnamon, or marzipan. Schneeballen, which translates as snowballs, are traditionally associated with Rothenberg ob der Tauber, but they can be found throughout Bavaria. Although they were once enjoyed only on special occasions, nowadays they are a staple at numerous Bavarian pastry shops."
Frankfurter Gruene Sosse,"Frankfurter Grüne Soße is a famous cold herb sauce from Frankfurt, consisting of sour cream, spices, and herbs. Traditionally, there should be seven herbs in the sauce, and 70% of them should have been grown in Frankfurt. These seven herbs are borage, chervil, garden cress, parsley, salad burnet, sorrel, and chives. The sauce is so well-known that there is even a Grüne Soße monument in Frankfurt-Oberrad. The monument consists of seven greenhouses, each one representing a different herb used in the sauce. It is still unknown whether the French immigrants or Italian traders brought the recipe to Frankfurt, since green sauces were known for centuries in those countries. There's also a very popular myth about the green sauce being Goethe's favorite dish, and according to it, it was invented by his mother. Although there is no evidence for the popular myth, it is a fact that the first recipe for the sauce was found in an 1860 cookbook written by Wilhelmine Rührig. Today, the sauce is commonly served with boiled eggs and potatoes, fish, or Tafelspitz."
Springerle,"Also known as little jumper or little knight, springerle is an anise-flavored biscuit made from wheat flour, eggs, and powdered sugar. In the past, the dough used to be leavened with hartshorn salt, but modern day recipes typically use baking powder. The designs and images on top are made with flat molds, presses, and boards, or specially crafted wooden rolling pins. The origin of these biscuits can be traced back to southwestern Germany and the 14th century. The oldest mold for springerle comes from Switzerland, and it was also made in the 14th century."
Bethmaennchen,"Bethmännchen have been a Christmas staple in Germany for over 200 years. Hailing from Frankfurt, these cookies are made from marzipan dough that is infused with rose water. Before they are glazed and baked, each cookie is decorated with three almond halves. Bethmännchen are closely associated with the once influential Bethmann family. The legend says that the family’s pastry chef, who was inspired by a similar dessert known as Frankfurter Brenten, invented the cookies in 1838 and decorated them to honor Bethmann's four sons. Although disputed, it is said that one of the almonds was subsequently removed after one of the sons passed away. The cookies are now popular across the country, but Bethmännchen are still strongly linked with Frankfurt, and they are usually prepared during the festive Christmas season."
Hirschgulasch,"Hirschgulasch is a traditional type of goulash, a stew of meat, vegetables, and spices made specifically with venison, or deer meat, instead of the beef or pork that might be used in other types of goulash. The name of the dish translates to venison goulash. The venison is typically cut into small, bite-sized pieces and then slow-cooked with various ingredients like onions, garlic, tomatoes, and a variety of spices. Other ingredients can also be included, such as red wine, bay leaves, juniper berries, and herbs, all of which enhance the flavor of the dish. The result is a rich, hearty stew with a robust flavor. "
Griebenschmalz,"Griebenschmalz is a traditional spread that consists of rendered pork fat (schmalz) and cracklings (grieben). The crunchiness of the pork cracklings perfectly complements the smooth and creamy texture of the lard, and the spread is often flavored with apples, onions, and spices such as marjoram, thyme, bay leaves, allspice, salt, and pepper. Griebenschmalz is typically spread on a slice of sourdough or rye bread or atop a pretzel bun. It is often topped with caramelized onions and served with pickled gherkins and a glass of beer on the side. Usually associated with the region of Bavaria, this German specialty is commonly available in beer pubs, beer gardens, and numerous traditional restaurants in the country."
Dresdner Stollen,"Dresdner stollen is an aromatic German fruit bread that has been closely associated with Christmas. It consists of buttery yeast dough that is spiced and usually studded with candied orange, lemon peel, sultanas, sweet and bitter almonds, and lemon zest. It is formed in large loafs, and when baked, the bread is brushed with butter and generously dusted with powdered sugar. Originally referred to as striezel, it is believed that the first stollen was not as rich as today’s versions, following the tradition of fasting during Advent. In 1490, the Pope Innocent VIII lifted the ban on baking with butter during Advent for Dresden bakers, allowing them to create more elaborate stollen versions. Because of its long history and cultural significance, this German classic has been awarded the Protected Geographical Indication status by the European Commission in 2010, which restricts the production of Dresdner stollen to the state capital Dresden and twelve municipalities in the greater Dresden area."
Leberkaessemmel,"This classic Bavarian and Austrian sandwich consists of a thick slice of leberkäse—a product consisting of ground meat that is baked into a meatloaf—which is served inside a halved bread roll (semmel). Typically, the sandwich will also include a generous slather of sweet mustard. In Bavaria, leberkässemmel is usually served in beer gardens, while the Austrian version is typically prepared and sold at street kiosks."
Rinderbrust,"In the American, English and German systems of primal beef cuts, the brisket (or rinderbrust) is a cut that comes from the breast or lower chest of the cow. The brisket is one of the nine primal cuts of beef and is particularly known for its size and for having a significant amount of connective tissue. This cut consists of two different muscles: the pectoralis major, known as the ""flat,"" and the pectoralis minor, or the ""point."" The flat is leaner, while the point has more fat and marbling. Because of the high amount of connective tissue, brisket needs to be cooked slowly, over low heat, to allow the collagen in the meat to break down and become tender. This makes it a popular choice for slow cooking methods like smoking, braising, or slow roasting. Brisket is notably used in a variety of regional American barbecue traditions, particularly Texas-style barbecue, where it's often smoked for many hours. It's also traditionally used for making corned beef and pastrami."
Filet,"In the American, French, German, Brazilian, and Korean systems of primal beef cuts, the tenderloin is a cut from the loin, which is located towards the back of the cow, nestled under the ribs, next to the backbone. It spans two primal cuts: the short loin and the sirloin. The tenderloin is one of the most tender cuts of beef as it comes from a muscle that doesn't get much exercise. It is also one of the most highly prized and correspondingly expensive cuts of beef, due to its tenderness and flavor. Given the tenderness of this cut, the tenderloin is often cooked quickly over high heat, with methods such as grilling or broiling. It's often served slightly rare to maintain its tender texture. "
Zigeunerschnitzel,"Zigeunerschnitzel is a German specialty consisting of a thin, breaded, and pan-fried veal cutlet (but pork, or chicken can also be used) that is finished with a spicy sauce on top just before serving. This schnitzel was named after the sauce it is topped with, which is called zigeuner sauce or gypsy sauce and is typically made with a combination of bell peppers of different colors, onions, tomato paste or tomatoes, mushrooms, wine, water, broth, and spices such as sweet and hot paprika. In Germany, the dish is not a common home-cooked meal but a typical food item that can be enjoyed at restaurants, cafeterias, and food stalls. Zigeunerschnitzel is usually accompanied by sides such as french fries, salzkartoffeln (salt potatoes), and salads, but it also pairs well with rice or spätzle. The name of this dish has been deemed offensive and politically incorrect toward the Romani people, which has led to a ban of its use in some parts of Germany and the rise of alternative names for this schnitzel such as balkanschnitzel or paprikaschnitzel."
Berliner Pfannkuchen,"Krapfen was probably the first European-style doughnut to appear, followed by similar varieties in other countries. These pastries are traditionally prepared with leavened dough that is deep-fried until golden and crispy on the outside, while they remain soft, light, and airy on the inside. Though krapfen can be prepared plain, they are most often filled or topped with jams, and vanilla or chocolate custards, while the top is usually dusted with powdered sugar or drizzled with chocolate. The origin of the word krapfen dates back to 9th century, and the recipes in German can be found as early as the 14th century. The sweet versions of the pastry became predominant, and have remained closely associated with the Carnival, a festive period which precedes Christian Lent. Interestingly, during the Carnival, one krapfen in a batch filled with jam and fruit preserves might contain a filling of mustard as a prank. It is believed that doughnuts spread throughout many central European countries, which adopted the technique but used different regional names. Consequently, krapfen in Germany goes under Berliner, pfannkuchen, faschingskrapfen, krebbel, or kreppel. In Poland, they are known as pączki or krepel, Hungarians refer to them as fánk, Slovak as šišky, while the Czechs use the term koblihy. In Slovenia, they are better known as krofi, while the standard name throughout Croatia, Bosnia, and Serbia is krofne or krafne. In St. Petersburg, Russia, the doughnuts are known as pyshki (either ring-shaped or without a hole), and there is a local café that has been serving pyshki prepared from the original recipe since the 1960s."
Dinnete,"Dinnete is a traditional dish originating from Baden-Württemberg. This pizza-like dish is topped with sour cream, salt, pepper, eggs, onions, ham, and cheese such as Emmental. The dough is made with a combination of wheat flour, spelt flour, yeast, salt, and water, and it's rolled into an oval shape, thick or thin, depending on personal preferences. Once baked, the dinnete is usually sliced into big rectangles and served hot. Although onions, ham, and cheese are the most authentic combination, some people also like to add sliced potatoes to the topping. It's recommended to pair dinnete with a glass of young white wine on the side. The dish is especially popular in autumn and winter."
Bauernfruehstueck,"Bauernfrühstück is a traditional dish that can be translated as a farmer’s breakfast. Although there are many variations throughout the country, it’s usually made with a combination of potatoes, butter or vegetable oil, onions, cured ham, eggs, milk, chives, salt, and pepper. The potatoes are boiled in their skins, peeled, cut into slices, and browned in butter with the onions and diced ham. The eggs are beaten, mixed with milk, seasoned with salt and pepper, and the mixture is then cooked in the pan with the rest of the ingredients. Once fully cooked but still moist, the dish is garnished with chopped chives and served warm."
Rostbraten,"The term rostbraten is used in German-speaking countries, including Germany and Austria, to refer to certain cuts of beef as well as dishes made from these cuts. Regarding cuts, the rostbraten usually refers to a section from the rump or loin of the cow, which corresponds to parts of the sirloin or rump steak in the UK and the US. This cut is known for being lean and quite tender, making it well-suited to various cooking methods, including roasting, grilling, or pan-frying. When used in a dish also called rostbraten, this cut of beef is often seared in a hot pan and then further cooked in the oven or simmered with onions and broth, depending on regional variations of the recipe. "
Pichelsteiner,"Pichelsteiner is a thick German stew made with several kinds of meat and vegetables. Pork, beef, and mutton are the main ingredients alongside potatoes, carrots, cabbage, and leeks. Various other vegetables can be added for extra flavor, such as onions, celery, and garlic. The stew is seasoned with salt and pepper, then sprinkled with fresh parsley. Pichelsteiner is considered an all-time classic in Bavaria, where the dish originated from in the 19th century. Auguste Winkler, an innkeeper from the small village of Grattersdorf, is credited with inventing the stew at an open-air cooking festival in 1879. The first mention of this dish appeared in a German cookbook from 1894. Since then, Pichelsteiner became associated with open-air cooking festivals in Germany. It is traditionally served piping hot on cold and rainy days."
Leipziger Allerlei,"As the name suggests, this German specialty hails from Leipzig, and it is typically based on a mix of vegetables. The dish usually consists of a combination of young vegetables, crayfish tails, morel mushrooms, and bread dumplings which are doused in a creamy, buttery sauce. Typical vegetables used in the preparation of this regional dish include carrots, asparagus, kohlrabi, cauliflower, and peas. Leipziger allerlei is traditionally enjoyed in May and June, either as a main course or a side, and it is often sprinkled with freshly chopped parsley or chervil on top. It is believed that this humble dish originated in the aftermath of the Napoleonic Wars as a protective measure against thieves, beggars, and tax collectors, when the citizens were asked to offer only vegetable-based dishes in order to create a false image of impoverishment."
Flaedlesuppe,"Flädlesuppe or frittatensuppe (as it is known in Austria) is a traditional and Austrian soup that consists of a rich broth with thin strips of flädle (frittaten) pancakes, hence the name of the soup. Although the traditional version calls for beef broth as the base, chicken or vegetable stock may be used as well. The soup is often enhanced with chunks of steamed or sautéed vegetables such as leeks, carrots, celery, and green onions. After assembling the sliced and rolled strips in each serving bowl, this piping hot soup is poured over them and the whole thing is finished with a handful of freshly chopped herbs such as parsley, chives, or celery leaves on top."
Anisplaezchen,"Anispläzchen are traditional German Christmas cookies. As the name suggests, the cookies are flavored with aniseed, and may optionally incorporate cinnamon. Although other ingredients include only eggs, sugar, and flour, the unique technique in which the batter is left to partially dry before baking gives these cookies a light and crispy top layer while the center remains chewy and moist. The cookies are usually baked and enjoyed for Christmas."
Gelbwurst,"Hailing from Bavaria, gelbwurst or yellow sausage is a German sausage variety that has been traditionally stuffed into natural casings dyed with saffron, hence the name. The sausage may consist of pork, veal or beef, bacon, or chicken, and it is typically flavored with various spices such as nutmeg, mace, pepper, ginger, cardamom, and lemon, depending on the region. Gelbwurst is distinguished by a pale grey color, a mild flavor, and a very smooth texture due to the practice of finely grinding the seasoned meat mixture. This traditional sausage is nowadays usually found inside artificial casings of yellow or orange color. Belonging to the group of cooked sausages, the sausage can be thinly sliced or cut into thick slices and fried. Either way, the slices are typically enjoyed with fresh bread for breakfast or dinner. Gelbwurst dates back to 1905, when the original version was prepared with the addition of pork brains, resulting in regional variations on the name such as hirnwurst, meaning brain sausage."
Lyoner Wurst,"Lyoner wurst is a parboiled German sausage that consists of pork, bacon, garlic, and a variety of spices, although beef is sometimes also added to the combination. After the parboiling process, the sausage is hot-smoked, and both of its ends are tied with a string to give it the shape of a horseshoe ring. The sausage gets its name from the French city of Lyon, which is believed to have been the home of this meat specialty. Lyoner wurst is often referred to as German bologna or garlicky bologna outside of Germany, whereas another common name used for this sausage variety in the country is fleischwurst. The sausage can be enjoyed both chilled and warm, and it is typically eaten with dark bread or crusty bread rolls and a generous smear of mustard over it. Strips of Lyoner wurst are often combined with raw onion rings and pickles drenched in vinaigrette to create a traditional German wurstsalat (lit. sausage salad)."
Frankfurter Schnitzel,"Frankfurter schnitzel is a traditional dish originating from Frankfurt. The dish is very similar to the famous Wiener schnitzel, which is always made with veal, but this version from Frankfurt can be prepared with other types of meat such as pork. The meat is pounded thin, coated with flour, dipped in beaten eggs, and dredged in breadcrumbs before it's fried in clarified butter (or a mixture of oil and butter) on both sides until golden brown and crispy. Once done, frankfurter schnitzel is traditionally served with grüne soße (green sauce), and often boiled potatoes and chopped hard-boiled eggs on the side. It's recommended to squeeze some lemon juice over the schnitzel before eating, while Apfelwein is the preferred accompanying beverage."
Matzeknoedelsuppe,"The center of every Jewish Seder—Passover meal—is a bowl of chicken broth with large matzah balls. The dish is deeply rooted in Jewish tradition, and it is believed that it originated among the Ashkenazi Jews who invented it as an adaptation of Central European bread dumplings (knödels). In Jewish tradition, the large balls are often referred to as kneydl, knaidel, kneidel, or knodel and are made with matzo meal—consisting of ground matzo bread—and rendered chicken fat. Nowadays, matzah ball soup is not exclusively associated with Passover and has become a year-round comfort food that is enjoyed in most Jewish communities."
