DishName,Description,Region,MainIngredient,Ingredients,StateOfMainIngredient,DietType,MealEatenAtPartOfDay,Variations,FlavorProfiles,PreparationMethod,PreparationTimeMinutes,MeatCut
Geschmorte Currykartoffeln mit Mettwurst,Braised potatoes with smoked sausage in a curry-spiced sauce.,"Bavaria, Austria, Switzerland",Potato,"potato, mettwurst, onion, curry powder, vegetable broth, oil, salt, pepper",braised,"omnivore, vegetarian","lunch, dinner","different types of sausage, different curry powder","savory, spicy, aromatic, earthy",braising,45,
Geschnetzeltes,"Stir-fried meat in a creamy sauce, typically served with noodles or potatoes.","Switzerland, Bavaria, Austria",Pork,"pork, onions, mushrooms, cream, mustard, white wine, broth, flour, oil, herbs",sliced,omnivore,"lunch, dinner","chicken, veal, mushroom","savory, creamy, aromatic, buttery, tangy",stir-frying,25,pork shoulder
Gewuerzgurken im Steintopf DDR Rezept,"Pickled cucumbers in a ceramic pot, a traditional side dish.","East Bohemia, Poland, Slovakia",Cucumber,"cucumbers, vinegar, water, sugar, salt, dill, mustard seeds, bay leaf, peppercorns",pickled,"vegetarian, vegan, kosher, halal, omnivore",anytime,"different spices, different vinegars","sour, savory, aromatic",brining,15,
Gleichgewichtskuchen,A layered cake with a balance of flavors and textures.,"Austria, Bavaria, Switzerland",Cake,"flour, sugar, eggs, butter, cream, fruit, jam",baked,"vegetarian, omnivore",anytime,"fruit variations, chocolate variations","sweet, creamy, fruity",baked,30,
Gratinierte Fischstaebchen im Schinkenmantel,Breaded fish sticks wrapped in ham and baked with a creamy sauce.,"Bavaria, Austria, Switzerland",Fish sticks,"fish sticks, ham, flour, eggs, breadcrumbs, milk, cheese, nutmeg, butter, salt, pepper",breaded,"omnivore, halal, kosher",dinner,"different types of fish, different cheeses, vegetables added","savory, cheesy, creamy, buttery, mild",baked,25,
Graubrot,"Dense, dark bread with a slightly sour taste.","Bavaria, Austria, Switzerland",Rye,"rye flour, water, salt, yeast, sometimes caraway seeds",baked,"vegetarian, vegan, omnivore","breakfast, anytime","with caraway, with seeds, with grains","earthy, savory, nutty, mild, tangy",baked,20,
Griebenschmalz ,Rendered pork fat spread with crispy pork cracklings.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Pork Fat,"pork fat, pork cracklings, salt, spices",rendered,omnivore,"breakfast, anytime","with herbs, with onions","savory, smoky, buttery, umami",rendering,15,
Griebenschmalz DDR Rezept,Rendered pork fat spread seasoned with onions.,"East Bohemia, Poland, Austria",Pork Fat,"pork fat, onions, salt, water, marjoram",rendered,omnivore,"breakfast, anytime","with cracklings, with herbs","savory, umami, buttery, smoky",rendering,30,
Griessbrei,"A porridge-like dish, often served with fruit or savory toppings.","Austria, Bavaria, Switzerland",Semolina,"milk, semolina, salt, sugar, butter, fruit, jam, cinnamon",boiled,"vegetarian, vegan, omnivore","breakfast, anytime","savory, sweet","sweet, creamy, buttery, mild",boiling,10,
Griesskloesschen,Pan-fried dumplings served with fruit compote.,"Austria, Bavaria, Saxony",Semolina,"semolina, milk, eggs, sugar, lemon zest, butter, fruit compote",fried,"vegetarian, omnivore","breakfast, anytime","with savory sauce, plain, with raisins","sweet, creamy, buttery, fruity",frying,15,
Griesssuppe,A comforting soup made with semolina.,"Austria, Bavaria, South Tyrol",Semolina,"vegetable broth, semolina, carrots, celery, onion, butter, milk, parsley, salt, pepper",cooked,"vegetarian, vegan, omnivore","lunch, anytime","with cheese, with meat broth, with herbs","savory, creamy, mild, buttery",boiling,15,
Grillhaxe mit Ananas-Sauerkraut,Roasted pork knuckle with pineapple sauerkraut.,"Bavaria, Austria, Switzerland",Pork Knuckle,"pork knuckle, sauerkraut, pineapple, onion, bay leaf, caraway, marjoram, vinegar, sugar, salt, pepper",roasted,omnivore,dinner,"with dumplings, with mashed potatoes, with potato gratin","savory, sweet, sour, aromatic, smoky",roasted,120,pork knuckle
Grillkartoffeln mit Liebstoeckel,Roasted potatoes flavored with lovage.,"Bavaria, Austria, Switzerland",Potato,"potato, lovage, oil, salt, pepper",roasted,"vegetarian, vegan, omnivore","lunch, dinner, anytime","with bacon, with herbs, with garlic","aromatic, savory, earthy, buttery",roasted,30,
Grossmutters Kaesekuchen,"A creamy, baked cheesecake with a delicate, buttery crust.","Bavaria, Baden-Württemberg, Austria, Switzerland",Cheese,"cream cheese, eggs, sugar, flour, butter, lemon zest, vanilla",baked,"vegetarian, omnivore",anytime,"fruit toppings, chocolate crust, different cheeses","sweet, creamy, buttery, tangy",baking,45,
Gruene Kloesse DDR Rezept,"Savory dumplings colored green with spinach, often served with a rich sauce.","Thuringia, Saxony, Austria",Potato,"potato, spinach, flour, egg, nutmeg, salt, pepper, marjoram",boiled,"vegetarian, omnivore","lunch, dinner","with herbs, with cheese","savory, earthy, creamy, mild",boiling,30,
Gruene Sauce,A vibrant sauce served with various accompaniments.,"Alsace, Lorraine, Switzerland",Herbs,"parsley, chervil, tarragon, chives, shallots, cream, butter, vinegar, oil, salt, pepper",chopped,"vegetarian, omnivore","lunch, dinner","with fish, with potatoes, with meat","creamy, aromatic, savory, tangy, buttery, mild",blended,15,
Gruene Sosse,"Creamy herb sauce, traditionally served with boiled eggs and potatoes.","Rhineland, North Rhine-Westphalia, Netherlands",Herb,"parsley, chives, sour cream, mayonnaise, vinegar, oil, salt, pepper, egg yolks",fresh,"vegetarian, omnivore","lunch, dinner","with yoghurt, with creme fraiche","sour, creamy, aromatic, savory, tangy",blended,10,
Gruener Kartoffelsalat,A salad featuring young potatoes dressed in a tangy vinaigrette.,"Baden-Wurttemberg, Bavaria, Austria, Switzerland",Potato,"potatoes, onion, vinegar, oil, mustard, sugar, chives, salt, pepper","boiled, sliced","vegetarian, vegan, omnivore","lunch, anytime","with pickles, with herbs, with bacon","sour, savory, aromatic, tangy, buttery",boiling,20,
Gruener Spargel Kartoffelsalat,"A salad featuring young green asparagus and potatoes, dressed with a creamy vinaigrette.","Bavaria, Baden-Württemberg, Austria, Switzerland",Asparagus,"potatoes, green asparagus, mayonnaise, vinegar, mustard, onion, chives, salt, pepper, sugar",boiled,"vegetarian, omnivore","lunch, dinner, anytime","with bacon, with herbs, with balsamic vinegar","savory, creamy, tangy, buttery, mild",boiled,20,
Gruener Spargel mit Erdbeer-Chili-Vinaigrette,Blanched green asparagus served with a strawberry chili dressing.,"Bavaria, Austria, Switzerland",Green Asparagus,"green asparagus, strawberries, chili, vinegar, olive oil, sugar, salt, pepper",blanched,"vegetarian, vegan, kosher, halal, omnivore","lunch, dinner, anytime","different types of vinegar, different chilis","sweet, sour, spicy, fruity, tangy, aromatic",boiled,15,
Gruenkohl Rheinische Art,Braised collard greens with bacon and apples.,"Rhineland, North Rhine-Westphalia, Luxembourg",Collard Greens,"collard greens, bacon, apples, onion, vegetable broth, juniper berries, red wine vinegar, salt, pepper",braised,"omnivore, vegetarian",dinner,"without bacon, with different types of meat","savory, smoky, tangy, buttery, earthy",braising,60,bacon
Gruenkohl mit Bratkartoffeln und Kasseler,Braised collard greens served with fried potatoes and cured pork.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Collard Greens,"collard greens, potatoes, kasseler, onion, bacon, vegetable broth, vinegar, oil, salt, pepper",braised,omnivore,dinner,"with apples, with sausages, with Mett","savory, smoky, earthy, aromatic, tangy",braising,45,Kasseler
Gruenkohl norddeutsche Art,Braised collard greens with bacon and spices.,"Lower Saxony, Hamburg, Schleswig-Holstein, Netherlands",Collard Greens,"collard greens, bacon, onion, apples, caraway seeds, nutmeg, beef broth, vinegar, potatoes",braised,"omnivore, vegetarian","lunch, dinner","with sausage, without bacon, with different spices","savory, smoky, aromatic, earthy, tangy",braising,60,bacon
Gruenkohl-Auflauf mit Pute,Baked casserole with collard greens and turkey.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Collard Greens,"collard greens, turkey, potatoes, onions, cream, cheese, nutmeg, salt, pepper",cooked,"omnivore, vegetarian",dinner,"with bacon, with different cheeses, with different meats","savory, cheesy, creamy, aromatic, earthy, mild",baked,45,turkey thigh
Gruetzwurst,"Coarsely ground sausage, often smoked and seasoned with marjoram.","Bavaria, Austria, Switzerland",Pork,"pork, pork fat, marjoram, salt, pepper, garlic, caraway, coriander",smoked,omnivore,anytime,"smoked, fresh, with cheese","savory, aromatic, smoky, mild",smoking,10,
Gruetzwurst DDR Rezept,"A hearty pork sausage, often served with potatoes and sauerkraut.","Thuringia, Saxony, Brandenburg",Pork,"pork, pork fat, salt, pepper, marjoram, garlic, caraway, vinegar, dextrose",boiled,omnivore,anytime,"smoked, grilled, with different spices","savory, aromatic, smoky, earthy, tangy",boiling,30,
Grundrezept Brot,A basic bread recipe.,"Austria, Switzerland, Bavaria",Flour,"Flour, Water, Yeast, Salt",raw,"vegetarian, vegan, omnivore","breakfast, anytime","Rye bread, sourdough, whole wheat","savory, aromatic, nutty, mild",baking,180,
Grundrezept Kartoffelkloesse,"Mashed potato dumplings, a comforting side dish.","Bavaria, Austria, Switzerland",Potato,"potato, flour, egg, milk, nutmeg, salt, pepper",boiled,"vegetarian, omnivore","lunch, dinner","Semmelknödel, Marillenknödel, Spinachknödel","savory, creamy, buttery, mild, earthy",boiling,30,
Grundrezept Pastete,"Rich, savory pie with a flaky crust.","Bavaria, Austria, Switzerland",Pate,"puff pastry, ground pork, ground veal, onion, garlic, egg, butter, milk, brandy, nutmeg, thyme, marjoram, salt, pepper",cooked,omnivore,dinner,"Terrine, Asado, Moussaka","savory, umami, aromatic, buttery",baked,120,"ground pork, ground veal"
Grundrezept Reibekuchen,Pan-fried potato pancakes,"North Rhine-Westphalia, Lower Saxony, Netherlands",Potato,"potato, onion, egg, flour, salt, pepper, oil",grated,"vegetarian, omnivore",anytime,"with applesauce, with sour cream, savory, sweet","savory, buttery, creamy, mild",frying,15,
Grundrezept Semmelknoedel,"Bread dumplings made from day-old bread, milk, and egg.","Bavaria, Austria, Switzerland",Bread,"bread, milk, onion, marjoram, parsley, egg, salt, pepper, butter",boiled,"vegetarian, omnivore","lunch, dinner","with cheese, with herbs, with spinach","savory, buttery, aromatic, mild",boiling,25,
Grundrezept Spaetzle Teig,"A dough-based dish, often served as a side or main course.","Swabia, Bavaria, Austria, Switzerland",Flour,"flour, eggs, milk, salt, water",raw,"vegetarian, omnivore","lunch, dinner, anytime","Käsespätzle, Rahmspinat Spätzle, Spätzle with gravy","savory, buttery, creamy, mild",boiled,15,
Gugelhupf,Bundt cake with a ring shape.,"Alsace, Lorraine, Switzerland",Flour,"flour, eggs, sugar, butter, yeast, vanilla, lemon zest, raisins",baked,"vegetarian, omnivore",anytime,"chocolate, orange, fruit-filled","sweet, buttery, creamy, fruity, aromatic",baking,45,
Gulasch mit Spaetzle,A hearty stew served with soft egg noodles.,"Bavaria, Austria, Switzerland",Beef,"beef, onion, paprika, tomato paste, broth, caraway, marjoram, egg, flour, milk, salt, pepper",diced,omnivore,dinner,"chicken goulash, mushroom goulash, veal goulash","savory, umami, aromatic, smoky, earthy",braised,60,beef chuck
Gurkensalat,A refreshing salad of thinly sliced cucumbers in a creamy dressing.,"Bavaria, Austria, Switzerland",Cucumber,"cucumber, sour cream, vinegar, sugar, salt, pepper, herbs","raw, sliced","vegetarian, vegan, kosher, halal, omnivore","lunch, anytime","with dill, with yogurt, with apple","sour, savory, mild, creamy, tangy",slicing,10,
Gurkensalat mit Milch,A refreshing salad of thinly sliced cucumbers in a creamy dressing.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Cucumber,"cucumber, milk, vinegar, sugar, salt, pepper, dill","raw, sliced","vegetarian, vegan, omnivore","lunch, anytime","sour cream, yogurt, vegetable oil","creamy, tangy, mild, savory",slicing,10,
Hack-Kohl-Topf,A hearty casserole of ground meat and sauerkraut.,"North Rhine-Westphalia, Bavaria, Austria",Sauerkraut,"ground meat, sauerkraut, potatoes, onions, carrots, broth, bay leaf, juniper berries, salt, pepper",fermented,"omnivore, vegetarian",dinner,"with apples, with mushrooms, with bacon","savory, tangy, aromatic, earthy",braised,60,ground beef
Hackbraten im Blaetterteig,Ground meatloaf baked in puff pastry.,"Bavaria, Austria, Switzerland",Ground meat,"ground meat, puff pastry, onion, breadcrumbs, milk, egg, mustard, salt, pepper, herbs",cooked,omnivore,dinner,"with cheese, with vegetables, with bacon","savory, buttery, aromatic, mild",baked,60,"beef, pork"
Hackbraten in Kastenform,Baked meatloaf formed in a loaf pan.,"Bavaria, Austria, Switzerland",Ground meat,"ground meat, bread crumbs, onion, egg, milk, salt, pepper, herbs",baked,omnivore,dinner,"with bacon, with cheese, with vegetables","savory, aromatic, umami, buttery",baking,60,"beef, pork, veal"
Hackbraten mit Kaese,Seasoned ground meat loaf with cheese baked inside.,"Bavaria, Baden-Württemberg, Austria",Ground Meat,"ground meat, breadcrumbs, onion, milk, egg, cheese, salt, pepper, paprika, mustard",baked,"omnivore, halal, kosher",dinner,"with bacon, with mushrooms, with vegetables","savory, cheesy, buttery, aromatic, mild",baked,60,beef
Hackus und Knieste,Pan-fried meatballs served with dumplings.,"Bavaria, Austria, Switzerland",Meatballs,"ground meat, bread crumbs, onion, milk, egg, salt, pepper, dumplings, gravy, herbs",cooked,omnivore,dinner,"with different sauces, with potatoes","savory, umami, aromatic, buttery",frying,30,"beef, pork"
Haeckerle,"A hearty, open-faced sandwich with cheese and bacon.","Baden-Württemberg, Bavaria, Switzerland",Bread,"bread, bacon, cheese, onion, butter",sliced,"omnivore, vegetarian","lunch, anytime","with ham, with sausage, with mushrooms","savory, buttery, smoky, cheesy",grilling,10,
Haeckerle Original DDR Rezept,A hearty stew with a thick gravy.,"Thuringia, Bavaria, Austria",Pork,"pork, onions, carrots, celery, potatoes, broth, marjoram, thyme, bay leaf, pepper, salt, vinegar",diced,omnivore,"lunch, dinner","with beef, with mushrooms","savory, umami, aromatic, earthy",braising,120,pork shoulder
Haehnchen-Pasta,Pasta dish with chicken in a creamy sauce.,"Bavaria, Austria, Switzerland",Pasta,"pasta, chicken, cream, parmesan, garlic, onion, herbs, butter, salt, pepper",cooked,"omnivore, vegetarian","lunch, dinner","with mushrooms, with asparagus, with bacon","creamy, savory, buttery, aromatic, cheesy",engulfed in sauce,20,chicken breast
Haehnchenfilets zu nussigen Spaetzle,Pan-fried chicken cutlets served with nutty noodles.,"Baden-Wurttemberg, Bavaria, Austria, Switzerland",Chicken,"chicken cutlets, flour, egg, breadcrumbs, butter, milk, nutmeg, parsley, parmesan cheese, flour, egg, butter",sliced,"omnivore, anytime",dinner,"with different sauces, with mushrooms, with different types of cheese","savory, nutty, creamy, buttery, mild",fried,25,chicken breast
Halbe Paprika mit Hackfuellung,Stuffed bell peppers with ground meat filling.,"Bavaria, Austria, Switzerland",Bell Pepper,"ground meat, rice, onion, tomato paste, paprika, salt, pepper, herbs",cooked,"omnivore, vegetarian","lunch, dinner","with quinoa, with lentils, vegetarian","savory, aromatic, umami, tangy",baked,45,ground beef
Hamburger,Ground beef patty served in a bun with various toppings.,"North Rhine-Westphalia, Bavaria, Austria, Switzerland",Ground beef,"bun, lettuce, tomato, onion, cheese, pickles, mayonnaise, ketchup, mustard",cooked,"omnivore, halal, kosher","lunch, anytime","veggie burger, chicken burger, fish burger, double burger","savory, umami, cheesy, creamy, buttery",frying,10,ground beef
Hamburger Apfelschnitte,"Baked apple slices with a sweet, crumbly topping.","Hamburg, Schleswig-Holstein, Lower Saxony, Denmark",Apple,"apples, flour, sugar, butter, cinnamon, lemon juice, vanilla",baked,"vegetarian, omnivore",anytime,"with raisins, with custard, with whipped cream","sweet, fruity, buttery, creamy",baked,30,
Handbrot mit Kaese und Schinken & Kraeuterschmand,"Rustic bread with cheese, ham, and herb-infused cream.","Baden-Wurttemberg, Bavaria, Austria",Bread,"bread, cheese, ham, sour cream, herbs, salt, pepper",sliced,"omnivore, vegetarian",anytime,"different cheeses, different hams, different herbs","savory, creamy, aromatic, cheesy, buttery, tangy",spreading,10,
Handkaese mit Musik,Soft cheese coated in breadcrumbs and fried.,"Baden-Wurttemberg, Rhineland-Palatinate, Switzerland",Cheese,"cheese, flour, eggs, breadcrumbs, onion, marjoram, salt, pepper, oil",sliced,"vegetarian, omnivore",anytime,"with bacon, with chives, with apple sauce","savory, cheesy, creamy, aromatic",fried,15,
Harzer-Kaese-Salat mit Tomaten,"A salad featuring a type of cheese, tomatoes, and a vinegar-based dressing.","North Rhine-Westphalia, Lower Saxony, Austria",Harzer cheese,"Harzer cheese, tomatoes, onion, vinegar, oil, chives, pepper, salt",sliced,"vegetarian, omnivore","lunch, anytime","with gherkins, with apples, with potatoes","sour, savory, cheesy, aromatic, tangy",sliced,15,
Hasenpfeffer,Braised rabbit stew with juniper berries and spices.,"North Rhine-Westphalia, Bavaria, Austria, Switzerland",Rabbit,"rabbit, onion, juniper berries, red wine, vinegar, marjoram, thyme, bay leaf, flour, vegetable oil, peppercorns, salt",braised,omnivore,dinner,"with mushrooms, with bacon, with different wine types","savory, aromatic, earthy, tangy, smoky",braising,120,whole rabbit
Hausmannskost,"Hearty, rustic fare, often featuring meat and potatoes.","Bavaria, Rhineland-Palatinate, Austria, Switzerland",Pork,"pork, potatoes, onions, bacon, broth, carrots, celery, herbs, flour, butter",roasted,omnivore,"lunch, dinner","with beef, with chicken, vegetarian versions with root vegetables","savory, buttery, earthy, mild, aromatic",braising,60,pork shoulder
Hefekloesse DDR Rezept,Fluffy yeast dumplings often served in a creamy sauce.,"East Austria, Bavaria, Saxony, Thuringia",Yeast Dough,"yeast, flour, milk, eggs, sugar, raisins, salt, butter, breadcrumbs, vanilla sugar",boiled,"vegetarian, omnivore","lunch, dinner","with savory filling, fried, baked","sweet, buttery, creamy, aromatic",boiling,30,
Heidelbeerkuchen,A baked fruit tart with a pastry crust.,"Bavaria, Baden-Württemberg, Austria, Switzerland",Blueberries,"blueberries, flour, sugar, butter, eggs, lemon zest, vanilla",fresh,"vegetarian, vegan, omnivore",anytime,"apple, cherry, rhubarb","sweet, fruity, tangy, buttery",baked,45,
Hendl - halbes Haehnchen mit warmem Kartoffelsalat,Roast half chicken served with warm potato salad.,"Bavaria, Austria, Switzerland",Chicken,"chicken, potatoes, onions, vinegar, mustard, oil, broth, herbs, salt, pepper",roasted,omnivore,"lunch, dinner","whole chicken, grilled chicken, beer-infused broth","savory, aromatic, buttery, mild",roasting,45,half chicken
Herbstliche Apfeltarte,Autumn apple tart with cinnamon and crumble topping.,"Bavaria, Austria, Switzerland",Apple,"apples, flour, butter, sugar, cinnamon, eggs, lemon juice, vanilla",sliced,"vegetarian, omnivore",anytime,"with raisins, with streusel, with custard","sweet, fruity, buttery, aromatic, creamy",baked,45,
Herbstlicher Putenbrust-Burger,Roasted turkey breast burger with seasonal vegetables and a creamy sauce.,"Bavaria, Austria, Switzerland",Turkey Breast,"turkey breast, burger buns, lettuce, tomato, red onion, pumpkin, apple, mayonnaise, cream, herbs, spices",roasted,"omnivore, halal, kosher","lunch, dinner, anytime","chicken, duck, vegetarian patty","savory, creamy, aromatic, buttery, mild",frying,20,Turkey Breast
Heringssalat DDR Rezept,Pickled herring salad with vegetables and a creamy dressing.,"Berlin, Brandenburg, Poland, Austria",Herring,"herring, potatoes, carrots, onion, pickles, mayonnaise, vinegar, sugar, black pepper",pickled,"omnivore, vegetarian","lunch, anytime","with apple, with beetroot, with curry","sour, savory, creamy, aromatic",pickling,20,
Herrencreme,A chilled dessert with a creamy base and fruit topping.,"North Rhine-Westphalia, Bavaria, Austria",Cream,"cream, fruit, sugar, lemon juice, biscuits, vanilla",chilled,"vegetarian, omnivore",anytime,"different fruits, different biscuits","sweet, creamy, fruity, aromatic",whipping,15,
Herrencreme mit Whisky,A rich and creamy dessert with a hint of whisky.,"Bavaria, Austria, Switzerland",Cream,"cream, whisky, sugar, vanilla, lemon zest, biscuits, chocolate",whipped,"vegetarian, omnivore",anytime,"with different spirits, with fruit, with coffee","sweet, creamy, aromatic, nutty, buttery",whipping,15,
Hessischer Schmandkuchen,"A creamy, yeasted cake with a tangy sour cream topping.","Hesse, Rhineland-Palatinate, North Rhine-Westphalia",Sour cream,"flour, yeast, milk, sugar, eggs, butter, sour cream, lemon zest, salt",creamy,"vegetarian, omnivore",anytime,"with fruit, with vanilla","creamy, tangy, buttery, sweet, mild",baked,45,
Himmel un Aeaed (Himmel und Erde),Mashed potatoes with applesauce.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Potato,"potato, apple, onion, butter, salt, pepper, sugar",mashed,"vegetarian, omnivore",dinner,"with black pudding, with bacon","sweet, savory, buttery, creamy, mild, earthy","boiling, mashing",25,
Hippe (Gebaeck),"A sweet, fried pastry often filled with plum jam.","Bavaria, Austria, Switzerland",Dough,"flour, yeast, milk, butter, sugar, plum jam, lemon zest",fried,"vegetarian, omnivore",anytime,"with quark filling, without filling","sweet, buttery, fruity, creamy",frying,15,
Hochzeitssuppe,Clear soup with handmade dumplings and strips of meat.,"Bavaria, Austria, Rhineland-Palatinate",Dumpling,"broth, flour, eggs, bacon, onion, carrots, celery, parsley, marjoram, salt, pepper",boiled,"omnivore, vegetarian","lunch, dinner","with liver dumplings, with chicken, without meat","savory, aromatic, buttery, mild",boiling,30,pork belly
Hochzeitssuppe mit Eierstich,"A creamy soup traditionally served at weddings, featuring a savory custard.","Bavaria, Austria, Switzerland",Soup,"chicken broth, cream, eggs, noodles, vegetables, marjoram, salt, pepper",liquid,"vegetarian, omnivore","lunch, dinner","with dumplings, with root vegetables","savory, creamy, aromatic, mild",boiling,25,
Hofer Schnitz,Breaded pork cutlet served with dumplings and gravy.,"Bavaria, Austria, Switzerland",Pork,"pork, breadcrumbs, egg, flour, oil, salt, pepper, parsley, dumplings, gravy","breaded, fried",omnivore,"lunch, dinner","with different sauces, with different side dishes","savory, buttery, aromatic",frying,20,pork chop
Holunderschnaps (mit Blueten),"A clear, intensely flavored cordial made from elderflower blossoms.","Bavaria, Austria, Switzerland",Elderflower Blossoms,"elderflower blossoms, sugar, water, lemon juice",fresh,"vegetarian, vegan, omnivore",anytime,"sparkling, flavored with other fruits","sweet, aromatic, fruity, tangy",maceration,10,
Hoppel Poppel - Berliner Omelett,"Fluffy pancake-like dish filled with cheese, ham, and herbs.","Berlin, Brandenburg, Poland",Egg,"egg, flour, milk, cheese, ham, chives, butter, salt, pepper",cooked,"omnivore, vegetarian","breakfast, anytime","with bacon, with mushrooms, with spinach","savory, cheesy, buttery, mild",frying,15,
Hotdog,Grilled sausage served in a bun with various toppings.,"Austria, Switzerland, Poland",Sausage,"bun, sausage, mustard, ketchup, relish, onions, pickles, cheese",cooked,"omnivore, halal, kosher",anytime,"Chicago dog, chili dog, corn dog","savory, smoky, tangy, buttery",grilling,5,
Huckelkuchen,A rustic cake with a distinctive ridged pattern.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Dough,"flour, yeast, milk, butter, sugar, raisins, lemon zest",baked,"vegetarian, omnivore",anytime,"different fruit fillings, different spices","sweet, buttery, fruity, aromatic",baked,45,
Huedel,"Poppy seed yeasted dough swirls, often served with fruit compote.","Bavaria, Austria, Switzerland",Dough,"flour, yeast, milk, sugar, butter, poppy seeds, lemon zest, fruit compote",baked,"vegetarian, omnivore","breakfast, anytime","filled with quark, cinnamon","sweet, buttery, nutty, aromatic",baked,30,
Huehnchenleber mit Kartoffelbrei,Pan-fried chicken liver served with mashed potatoes.,"Bavaria, Austria, Switzerland",Chicken Liver,"chicken liver, potatoes, butter, milk, onion, salt, pepper, flour, oil",pan-fried,"omnivore, anytime",dinner,"with bacon, with apples, with gravy","savory, creamy, buttery, earthy, mild",frying,20,chicken liver
Huehnerfrikassee,Creamy chicken stew served with noodles or dumplings.,"Bavaria, Austria, Switzerland",Chicken,"chicken, mushrooms, onions, cream, broth, flour, nutmeg, lemon juice, parsley",boiled,"omnivore, anytime","lunch, dinner","with crayfish, with morels","creamy, savory, aromatic, buttery, mild",engulfed in sauce,30,chicken breast
Huehnerfrikassee mit Okraschoten,"Stewed chicken in a creamy mushroom sauce, often served with egg noodles.","Bavaria, Austria, Switzerland",Chicken,"chicken, mushrooms, onions, cream, marjoram, thyme, flour, butter, vegetable broth, egg noodles",cooked,"omnivore, vegetarian","lunch, dinner","with crayfish, with asparagus","savory, creamy, aromatic, earthy, buttery",stewing,30,chicken breast
Huehnersuppe,A comforting and nourishing soup with chicken and vegetables.,"Bavaria, Austria, Switzerland",Chicken,"chicken, carrots, celery, onion, noodles, parsley, salt, pepper, bay leaf",boiled,"omnivore, vegetarian","lunch, dinner, anytime","with dumplings, with herbs, clear broth","savory, aromatic, mild, buttery",boiling,30,chicken
Huehnersuppe mit Griesskloesschen,Chicken soup with small dumplings.,"Austria, Bavaria, Switzerland",Chicken,"chicken, water, carrots, celery, onion, herbs, semolina, egg, milk, salt, pepper",boiled,"omnivore, vegetarian","lunch, dinner, anytime","with noodles, with vegetables, with herbs","savory, aromatic, mild, creamy",boiling,30,chicken
Huehnersuppe mit Huehnerbrust,Chicken soup with chicken breast.,"Austria, Bavaria, Switzerland",Chicken,"chicken, water, carrots, celery, onion, noodles, salt, pepper, parsley",boiled,"omnivore, halal, kosher","lunch, dinner, anytime","with dumplings, with vegetables, clear broth","savory, aromatic, mild, umami",boiling,30,chicken breast
Im Ofen geschmorter Cranberry-Rotkohl zu Entenbrust,Roasted red cabbage with cranberries served with duck breast.,"Bavaria, Austria, Switzerland",Red Cabbage,"red cabbage, cranberries, apple, onion, vinegar, sugar, bay leaf, cloves, duck breast, salt, pepper",cooked,"omnivore, vegetarian",dinner,"with apples, with pears, with walnuts","sweet, sour, fruity, savory, aromatic",braising,60,duck breast
Jackfruit-Geschnetzeltes,"Shredded jackfruit in a creamy sauce, often served with rice or noodles.","Bavaria, Austria, Switzerland",Jackfruit,"jackfruit, onion, garlic, vegetable broth, soy sauce, coconut milk, flour, oil, paprika, black pepper, salt",shredded,"vegetarian, vegan, anytime","lunch, dinner","with mushrooms, with potatoes, with polenta","savory, umami, creamy, aromatic, mild",engulfed in sauce,25,
Jaegerschnitzel,Breaded and fried cutlet with mushroom sauce.,"Bavaria, Austria, Switzerland",Pork,"pork, flour, eggs, breadcrumbs, mushrooms, onions, cream, butter, oil, salt, pepper, parsley",sliced,omnivore,"lunch, dinner","chicken, veal","savory, creamy, buttery, aromatic",fried,15,pork cutlet
Jagdwurst,"A type of cured sausage, often with coarse texture.","Bavaria, Baden-Württemberg, Austria",Pork,"pork, beef, salt, pepper, garlic, coriander, marjoram, dextrose, sodium nitrite, sodium nitrate",sliced,omnivore,anytime,"smoked, with cheese, with jalapenos","savory, smoky, aromatic, spicy",cured,10,pork shoulder
Johannisbeergelee ,Sweet fruit jelly made from currants.,"Austria, Switzerland, Bavaria",Currants,"currants, sugar, lemon juice, water",boiled,"vegetarian, vegan, kosher, halal",anytime,"raspberry jelly, blueberry jelly, strawberry jelly","sweet, fruity, tangy",simmering,15,
Johannisbeerlikoer mit Wodka,Vodka infused with currant liqueur.,"Baden-Wurttemberg, Austria, Switzerland",Currant Liqueur,"currant liqueur, vodka, sugar",liquid,"vegetarian, vegan, omnivore",anytime,"different vodka brands, different currant varieties","sweet, fruity, aromatic",infusion,5,
Kaesebeisser,Fried cheese snack served in a breaded patty.,"Bavaria, Austria, Switzerland",Cheese,"cheese, breadcrumbs, flour, eggs, milk, oil, salt, pepper",sliced,"vegetarian, omnivore",anytime,"with bacon, with ham, with different cheeses","cheesy, creamy, savory, buttery, mild",fried,15,
Kaesefondue mit Beilagen,"Melted cheese served in a communal pot, with bread and vegetables for dipping.","Switzerland, Bavaria, Austria",Cheese,"cheese, white wine, garlic, nutmeg, kirsch, bread, vegetables",melted,"vegetarian, omnivore",dinner,"Gruyere Fondue, Raclette","cheesy, creamy, nutty, savory, aromatic",melting,20,
