"BeverageName","Description","Region","MainIngredient","Ingredient","FlavorProfile","IsCarbonated","AlcoholContent","BeverageType","ServingTemperature","IsGermanStaple"
"Mineralwasser","Sparkling water sourced from natural springs.","Bavaria, Austria, Switzerland","Water","Water, minerals","refreshing, mineral, clean","yes","0.0","Water","chilled","yes"
"Moelmsch (Bier)","A dark, strong wheat beer with a rich, roasted flavor.","Bavaria, Austria","Wheat","wheat, barley, hops, water, yeast","bitter, malty, yeasty, nutty, earthy, smooth","no","6.5","beer","chilled","yes"
"Molkebier","A fermented milk beverage with a beer-like appearance and taste.","North Rhine-Westphalia, Lower Saxony, Netherlands","Milk","Milk, yeast, hops, water, sugar","sour, yeasty, creamy, smooth, refreshing","no","2.5","beer","chilled","no"
"Muenchner Dunkel","A dark, malty lager with a rich color.","Bavaria, Austria","Malted Barley","Malted Barley, Hops, Water, Yeast","malty, bitter, caramel-like, yeasty, smooth, earthy","no","4.8","Beer","chilled","yes"
"Muenchner Hell","A light-bodied, pale lager.","Bavaria, Austria, Switzerland","Barley","Barley, hops, water, yeast","hoppy, bitter, refreshing, dry, citrusy","yes","4.8","beer","chilled","yes"
"Muenchner Helles","A pale lager with a clean and crisp taste.","Bavaria, Austria, Switzerland","Malted Barley","Malted barley, hops, water, yeast","malty, hoppy, smooth, refreshing, yeasty","yes","4.8","beer","chilled","yes"
"Multivitaminsaft","A fruit juice blend fortified with vitamins.","Austria, Switzerland, Bavaria, North Rhine-Westphalia","Fruit Juice","Apple juice, orange juice, lemon juice, vitamin C, vitamin B6, vitamin E, folic acid, biotin, pantothenic acid, niacin","sweet, fruity, citrusy, refreshing","no","0.0","juice","chilled","no"
"Naehrbier","Nutrient-enhanced beer designed for supplemental nutrition.","North Rhine-Westphalia, Bavaria, Austria","Barley","Barley, hops, water, vitamins, minerals","malty, bitter, yeasty, smooth","no","0.5","beer","chilled","no"
"Near Beer","Low-alcohol malt beverage with a beer-like taste.","Austria, Switzerland, Bavaria","Malt","Malt, water, hops, yeast","malty, hoppy, bitter, refreshing","yes","0.5","Beer","chilled","no"
"Obergaeriges Bier","A traditional, top-fermented beer with a full-bodied character.","Bavaria, Austria, Czech Republic","Barley","Barley, Hops, Water, Yeast","malty, hoppy, yeasty, bitter, smooth","no","4.5","Beer","chilled","yes"
"Obstler","Fruit brandy distilled from fermented fruit.","Bavaria, Austria, Switzerland","Apples","Apples, pears, plums, cherries","fruity, sweet, sour, bitter","no","40.0","Brandy","room temperature","yes"
"Orangensaft","A juice made from oranges.","Bavaria, Austria, Switzerland","Orange","Orange, water, sugar","sweet, citrusy, fruity, refreshing","no","0.0","juice","chilled","no"
"Oshikundu","A sweet, fruit-based drink popular in the northeast.","Mecklenburg-Vorpommern, Brandenburg, Poland","Lingonberry","Lingonberry juice, water, sugar","sweet, fruity, sour, refreshing","no","0.0","juice","chilled","no"
"Ouzo","An anise-flavored spirit.","Greece, Turkey, Cyprus","Grape","grape, anise, fennel, sugar","anise, bitter, herbal, citrusy, spiced","no","38.0","spirit","chilled","no"
"Pale Ale","An amber-colored beer with a balanced hop character.","Bavaria, Austria, Czech Republic","Barley","Barley, Hops, Water, Yeast","hoppy, bitter, malty, citrusy, earthy","yes","4.5","beer","chilled","no"
"Pfefferminztee","Aromatic herbal infusion with a minty flavor.","Bavaria, Austria, Switzerland","Peppermint","Peppermint leaves, water","herbal, refreshing, minty","no","0.0","tea","hot","yes"
"Pils","A pale lager with a crisp, clean taste.","North Rhine-Westphalia, Bavaria, Austria","Barley","Barley, Hops, Water, Yeast","hoppy, bitter, refreshing, dry, citrusy","yes","4.8","beer","chilled","yes"
"Pilsator","A pale lager with a crisp and clean taste.","North Rhine-Westphalia, Bavaria, Austria","Barley","Barley, Hops, Water, Yeast","hoppy, bitter, refreshing, dry, citrusy","yes","4.8","beer","chilled","yes"
"Pilsner Bier","Pale lager with a crisp, clean taste.","North Rhine-Westphalia, Bavaria, Austria, Czech Republic","Barley","Barley, Hops, Water, Yeast","bitter, hoppy, refreshing, dry, yeasty","yes","4.8","beer","chilled","yes"
"Pito (Bier)","A dark, unfiltered wheat beer with a slightly tart and smoky taste.","Bavaria, Austria","Wheat","wheat malt, barley malt, hops, water, yeast","bitter, sour, yeasty, refreshing, earthy","yes","4.5","beer","chilled","no"
"Porter (Bier)","Dark, rich beer with roasted malt flavors.","North Rhine-Westphalia, Bavaria, Austria","Malted Barley","Malted barley, hops, yeast, water, roasted malt","bitter, malty, roasted, nutty, chocolaty, caramel-like, yeasty, smooth, dry","no","5.5","beer","chilled","no"
"Pumpkin Ale","A beer brewed with pumpkin and spices.","Austria, Switzerland, Bavaria","Pumpkin","Pumpkin, malt, hops, water, spices","malty, spiced, earthy, sweet, bitter","yes","4.5","beer","chilled","no"
"Queckenbier","A traditional, lightly fermented beverage made from elderflower.","Bavaria, Austria, Switzerland","Elderflower","Elderflower, water, sugar, lemon juice","floral, citrusy, refreshing, sweet","no","1.5","fermented beverage","chilled","no"
"Radler","Beer mixed with lemon soda.","Bavaria, Baden-Wurttemberg, Austria","Beer","Beer, Lemon Soda, Water, Sugar","citrusy, refreshing, hoppy, sweet","yes","2.5","Beer","chilled","yes"
"Ramazotti","An Italian bittersweet liqueur.","Bavaria, Austria, Switzerland","Quinine","quinine, herbs, roots, spices, sugar","bitter, herbal, spiced, citrusy","no","15.0","Liqueur","chilled","no"
"Rauchbier","Smoked beer with a distinctive smoky aroma and flavor.","Bavaria, Austria, Czech Republic","Barley","Barley, hops, water, yeast, smoked malt","smoky, malty, bitter, yeasty, earthy","no","5.0","beer","chilled","yes"
"Reisbier","A rice beer, typically light-bodied and refreshing.","Bavaria, Austria, Switzerland","Rice","Rice, water, yeast, hops","smooth, refreshing, light, malty","yes","2.5","Beer","chilled","no"
"Reiswein","A sweet, fortified wine made from white grapes.","Mosel, Rheinland-Pfalz, Austria","Riesling","Riesling grapes, sugar","sweet, fruity, floral, citrusy","no","7.0","Wine","chilled","yes"
"Rhabarbersaft","Tart juice made from rhubarb.","Bavaria, Baden-Wuerttemberg, Austria","Rhubarb","rhubarb, water, sugar, lemon juice","sour, fruity, bitter, refreshing","no","0.0","juice","chilled","no"
"Rheintaler Maisbier","A light, refreshing beer brewed with corn.","North Rhine-Westphalia, Baden-Wuerttemberg, Switzerland","Corn","Water, Corn, Barley malt, Hops, Yeast","refreshing, smooth, light, malty","yes","4.8","beer","chilled","no"
"Roggenbier","Dark rye beer with a distinctive, earthy flavor.","Bavaria, Baden-Wurttemberg, Austria","Rye","Water, Rye Malt, Barley Malt, Hops, Yeast","earthy, malty, bitter, spiced, yeasty, smooth","no","4.8","beer","chilled","yes"
"Rosewein","A pink-hued wine with delicate aromas and flavors.","Mosel, Rheinhessen, Pfalz, Austria","Grapes","Cabernet Sauvignon, Merlot, Pinot Noir, Grenache, Syrah, Rose petals","fruity, citrusy, floral, dry, refreshing","no","12.5","wine","chilled","yes"
"Rotbier","A dark lager with a malty, reddish-brown hue.","Bavaria, North Rhine-Westphalia, Austria","Malt","Malt, hops, water, yeast, caramel coloring","malty, bitter, caramel-like, yeasty, smooth, earthy","yes","4.5","beer","chilled","yes"
"Rotwein","Red wine produced from fermented grape juice.","Rheingau, Mosel, Baden-Wurttemberg, Pfalz","Grapes","Grapes, Yeast, Sugar, Acidity regulators","fruity, bitter, sour, spiced, earthy, dry, nutty, floral","no","13.5","Wine","room temperature","yes"
"Rum","Distilled spirit made from sugarcane byproducts.","Bavaria, Hamburg, Schleswig-Holstein","Sugarcane","Molasses, water, yeast","sweet, bitter, fruity, spiced, caramel-like","no","40.0","Spirits","room temperature","no"
"Russ","A dark, malty beer with a distinctive smoky flavor.","North Rhine-Westphalia, Lower Saxony, Netherlands","Barley","Barley, water, hops, dark sugar","smoky, malty, bitter, earthy, roasty","no","4.8","beer","chilled","yes"
"Russian Imperial Stout","Dark, strong, and intensely flavored beer with roasted malt characteristics.","Austria, Switzerland, Poland","Barley","Barley, Hops, Water, Yeast, Dark Molasses, Chocolate Malt, Roasted Malt","bitter, malty, chocolaty, caramel-like, nutty, earthy, creamy, smooth, roasty","no","9.0","beer","room temperature","no"
"Saftschorle","Fruit juice mixed with carbonated water.","Bavaria, Baden-Wuerttemberg, Austria","Fruit Juice","Fruit Juice, Carbonated Water","sweet, fruity, citrusy, refreshing","yes","0.0","juice","chilled","yes"
"Sake","Fermented rice wine.","Austria, Switzerland","Rice","Rice, Water, Koji, Yeast","sweet, yeasty, fruity, floral","no","15.0","Wine","chilled","no"
"Scheps","A traditional fruit wine with a slightly sparkling character.","Rhineland-Palatinate, Baden-Wurttemberg, Austria","Plums","Plums, sugar, water","sweet, fruity, sour, refreshing","yes","6.0","Wine","chilled","yes"
"Schwarzbier","Dark lager with a crisp, clean profile.","North Rhine-Westphalia, Bavaria, Austria","Malted Barley","Malted Barley, Hops, Water, Yeast","bitter, malty, hoppy, dry, smooth, creamy","no","4.5","beer","chilled","yes"
"Schwarztee","A classic black tea infusion.","Bavaria, North Rhine-Westphalia, Austria, Switzerland","Black Tea Leaves","Black Tea Leaves, water","bitter, herbal, citrusy, earthy","no","0.0","tea","hot","yes"
"Scotch Ale","Rich, dark beer with a malty sweetness and hints of caramel.","Bavaria, Austria, Scotland","Malted Barley","Malted Barley, Hops, Water, Yeast, Caramel, Molasses","malty, caramel-like, bitter, sweet, nutty, creamy, smooth","no","6.0","beer","room temperature","no"
"Sekt","Sparkling wine produced using the traditional method.","Rheingau, Mosel, Baden-Wurttemberg, Austria","Grapes","Grapes, Sugar, Yeast","citrusy, fruity, yeasty, dry, refreshing","yes","11.5","Wine","chilled","yes"
"Spezi","A cola-based mixed drink with a unique flavor.","North Rhine-Westphalia, Bavaria, Austria","Cola","Cola, Lemon Cola","sweet, citrusy, refreshing","yes","0.0","Soda","chilled","yes"
"Sprite","Lemon-lime flavored soft drink.","Austria, Switzerland, Poland, Netherlands","Water","Carbonated water, high fructose corn syrup, citric acid, sodium benzoate, natural flavors, beta-carotene","citrusy, sweet, refreshing","yes","0.0","soda","chilled","no"
"Steinbier","A dark, strong beer traditionally brewed in winter.","Saxony, Bavaria, Bohemia","Barley","Barley, Hops, Water, Yeast","bitter, malty, hoppy, earthy, yeasty, dry","no","7.0","beer","chilled","yes"
"Stillwasser","Still, clear, and odorless water.","Nationwide, Austria, Switzerland","Water","Water","refreshing, smooth","no","0.0","Water","chilled","yes"
"Stout","Dark, rich beer with roasted malt flavors.","Bavaria, Austria, Belgium","Barley","Barley, Hops, Water, Yeast, Roasted Malt","bitter, malty, chocolaty, nutty, creamy, smooth, earthy, roasty","no","4.5","beer","chilled","no"
"Strong Ale","A robust, flavorful beer with a higher alcohol content.","North Rhine-Westphalia, Bavaria, Austria","Barley","Barley, Hops, Water, Yeast","bitter, malty, hoppy, yeasty, caramel-like","no","7.5","beer","room temperature","no"
"Suessbier","A sweet, low-alcohol malt beverage.","Bavaria, Austria, Switzerland","Malt","Malt, water, sugar, yeast","sweet, malty, yeasty, smooth","yes","2.5","malt beverage","chilled","no"
"Summer Ale","A light-bodied, refreshing ale brewed for warm weather.","Bavaria, Austria, Switzerland","Barley","Barley, Hops, Water, Yeast","fruity, hoppy, refreshing, citrusy, malty","yes","4.5","beer","chilled","no"
"TarubÃ¡","A non-alcoholic malt-based beverage with a dark color and roasted flavor.","Bavaria, Austria, Switzerland","Malt","Malt extract, water, sugar, caramel coloring, hops","bitter, malty, caramel-like, earthy, refreshing","no","0.0","Soda","chilled","no"
"Tee","Aromatic infusion made from dried leaves","Bavaria, Austria, Switzerland","Camellia sinensis","water, camellia sinensis leaves, herbs, fruits, spices","bitter, herbal, floral, citrusy, spiced, fruity","no","0.0","infusion","hot","yes"
"Tonic Water","A clear, bubbly soda with a distinctive bitter taste, often used in cocktails.","North Rhine-Westphalia, Bavaria, Austria, Switzerland","Quinine","Water, Quinine, Sugar, Citric Acid, Sodium Benzoate","bitter, citrusy, refreshing","yes","0.0","soda","chilled","no"
"Trappistenbier","Belgian abbey-style ale brewed by Trappist monks.","Bavaria, North Rhine-Westphalia, Austria","Barley","Barley, Hops, Water, Yeast, Wheat","malty, hoppy, yeasty, bitter, fruity","yes","7.0","beer","chilled","no"
"Traubensaft","Juice made from grapes.","Bavaria, Rhineland-Palatinate, Austria","Grapes","Grapes, water, lemon juice, ascorbic acid","sweet, fruity, sour, citrusy","no","0.0","juice","chilled","yes"
"Tripel (Bier)","Strong, pale ale with a complex flavor profile.","North Rhine-Westphalia, Bavaria, Belgium, Netherlands","Barley","Barley, Hops, Water, Yeast","bitter, hoppy, malty, yeasty, dry, smooth","no","7.5","beer","chilled","no"
"Umqombothi","A traditional fermented beverage made from maize, sorghum, and barley.","Rhine Valley, Bavaria, Austria","Maize","maize, sorghum, barley, water, yeast","earthy, malty, yeasty, bitter","no","2.0","beer","room temperature","no"
"Underberg","Small-batch bitter herbal digestif.","North Rhine-Westphalia, Bavaria, Austria","Herbs","herbs, spices, caramel, sugar, water","bitter, herbal, spiced, earthy","no","18.0","digestif","chilled","yes"
"Ungespundetes Bier","Unfiltered beer with a cloudy appearance.","Bavaria, North Rhine-Westphalia, Austria","Barley","Barley, Water, Hops, Yeast","malty, hoppy, yeasty, bitter, earthy","no","4.5","beer","chilled","yes"
"Untergaeriges Bier","Unfiltered, naturally cloudy beer with a rustic character.","Bavaria, Austria, Switzerland","Barley","Barley, hops, water, yeast","malty, yeasty, hoppy, bitter, earthy","no","4.8","beer","chilled","yes"
"Vodka","A distilled alcoholic beverage typically produced by fermenting grains or potatoes.","Poland, Russia, Scandinavia, Austria","Grain","Water, Grain, Yeast","smooth, dry, citrusy, herbal","no","40.0","Spirit","chilled","no"
"Weinschorle","Wine mixed with sparkling water.","Bavaria, Baden-Wuerttemberg, Austria","Wine","Wine, Sparkling Water","citrusy, fruity, refreshing, sour","yes","5.0","Wine","chilled","yes"
"Weissbier","A cloudy wheat beer with a distinctive aroma.","Bavaria, North Rhine-Westphalia, Austria","Wheat","Wheat, barley, hops, water, yeast","yeasty, fruity, spiced, refreshing, creamy, smooth","yes","4.8","beer","chilled","yes"
"Weissbierpils","A hybrid beer combining characteristics of wheat beer and pilsner.","Bavaria, North Rhine-Westphalia, Austria","Barley","Barley, Wheat, Hops, Water, Yeast","hoppy, yeasty, citrusy, refreshing, smooth, bitter, fruity","yes","4.8","Beer","chilled","no"
"Weisswein","A light-bodied white wine.","Rheingau, Mosel, Baden-Wurttemberg, Austria","Grapes","Grapes, yeast, sugar","citrusy, fruity, dry, refreshing","no","12.5","wine","chilled","yes"
"Weizenbier","A wheat beer with a hazy appearance and distinctive banana and clove notes.","Bavaria, Baden-Wuerttemberg, Austria","Wheat","wheat malt, barley malt, hops, water, yeast","fruity, yeasty, smooth, refreshing, bitter, spiced","yes","4.8","beer","chilled","yes"
"Weizenbock","A strong, dark wheat beer with bock characteristics.","Bavaria, Baden-Wuerttemberg, Austria","Wheat","wheat malt, barley malt, hops, yeast","malty, yeasty, bitter, spiced, nutty, caramel-like","no","6.5","beer","chilled","yes"
"Whiskey","A distilled alcoholic beverage made from fermented grains, typically barley.","Bavaria, Baden-Wuerttemberg, Rhineland-Palatinate, Austria, Scotland","Barley","Barley, water, yeast, caramel, oak","bitter, spiced, caramel-like, nutty, earthy, smooth","no","40.0","Spirits","room temperature","no"
"Wiener Export","A pale lager with a clean, crisp taste.","Austria, Bavaria, Salzburg","Barley","Barley, Hops, Water, Yeast","hoppy, crisp, refreshing, bitter, dry","yes","5.0","Beer","chilled","no"
"Williams-Birne","Pear-flavored liquor distilled from Williams pears.","Bavaria, Baden-Wuerttemberg, Austria","Williams Pear","Williams Pears, Sugar, Water","fruity, sweet, smooth, pear, floral","no","38.0","Liquor","chilled","yes"
"Witbier","Belgian-style wheat beer characterized by its spicy and fruity notes.","Belgium, Netherlands, Austria, Switzerland","Wheat","wheat, barley, hops, coriander, orange peel","fruity, spiced, hoppy, citrusy, herbal, yeasty, refreshing","yes","4.5","beer","chilled","no"
"Zoigl","Unfiltered, naturally cloudy wheat beer.","Bavaria, Franconia, Austria","Wheat","Wheat, barley, hops, water, yeast","yeasty, smooth, refreshing, bitter, herbal","yes","4.8","Beer","chilled","yes"
"Zwickelbier","Unfiltered wheat beer with a cloudy appearance.","Bavaria, Franconia, Austria","Wheat","Wheat, barley, hops, water, yeast","malty, yeasty, creamy, smooth, refreshing","yes","4.8","beer","chilled","yes"
"Zwickl","Unfiltered wheat beer with a cloudy appearance.","Bavaria, Austria","Wheat","wheat, barley, hops, water, yeast","fruity, yeasty, smooth, refreshing, citrusy","yes","4.5","beer","chilled","yes"
